2026/09/25 12:15:37 Поиск 'btcusdt' (категория 'coins'): results=1, err=<nil>
2026/09/25 12:25:38 Поиск 'btc' (категория 'coins'): results=1, err=<nil>
2026/09/25 12:29:33 Поиск 'usdt' (категория 'coins'): results=0, err=bybit API error: code 10001: params error: Symbol Is Invalid
2026/09/25 12:34:29 Поиск 'btcusdt' (категория 'coins'): results=1, err=<nil>
2026/09/25 12:34:51 Поиск 'sber' (категория 'stocks'): results=1, err=<nil>
2026/09/25 12:36:35 Поиск 'GAZP' (категория 'stocks'): results=1, err=<nil>
2026/09/25 12:37:42 Поиск 'RU000A10DQB6' (категория 'bonds'): results=1, err=<nil>
2026/09/25 12:38:12 Поиск 'eth' (категория 'coins'): results=1, err=<nil>
2026/09/25 12:45:26 Поиск 'sber' (категория 'stocks'): results=1, err=<nil>
2026/09/25 12:46:35 Поиск 'RU000A10DQB6' (категория 'bonds'): results=1, err=<nil>
2026/09/25 12:53:18 Поиск 'btc' (категория 'coins'): results=1, err=<nil>
2026/09/25 12:53:32 Поиск 'sber' (категория 'stocks'): results=1, err=<nil>
2026/09/25 12:57:45 Поиск 'SU26238RMFS4' (категория 'bonds'): results=1, err=<nil>
2026/09/25 12:58:33 Поиск 'btc' (категория 'coins'): results=1, err=<nil>
2026/09/25 12:58:50 Поиск 'LKOH' (категория 'stocks'): results=1, err=<nil>
2026/09/25 13:18:33 Поиск 'SU26238RMFS4' (категория 'bonds'): results=1, err=<nil>
2026/09/25 13:21:13 Поиск 'SBER' (категория 'stocks'): results=1, err=<nil>
2026/09/25 13:27:26 Поиск 'DOGEUSDT' (категория 'coins'): results=1, err=<nil>
2026/09/25 13:27:36 Поиск 'LTCUSDT' (категория 'coins'): results=1, err=<nil>
2026/09/25 13:27:42 Поиск 'ETHUSDT' (категория 'coins'): results=1, err=<nil>
2026/09/25 13:27:48 Поиск 'NEARUSDT' (категория 'coins'): results=1, err=<nil>
2026/09/25 13:27:53 Поиск 'ARUSDT' (категория 'coins'): results=1, err=<nil>
2026/09/25 13:27:58 Поиск 'XRPUSDT' (категория 'coins'): results=1, err=<nil>
2026/09/25 13:28:05 Поиск 'HPYPEUSDT' (категория 'coins'): results=0, err=bybit API error: code 10001: params error: Symbol Is Invalid
2026/09/25 13:28:20 Поиск 'HYPEUSDT' (категория 'coins'): results=1, err=<nil>
2026/09/25 13:28:29 Поиск 'BCHUSDT' (категория 'coins'): results=1, err=<nil>
2026/09/25 13:28:37 Поиск 'SOLUSDT' (категория 'coins'): results=1, err=<nil>
2026/09/25 13:28:44 Поиск 'ARBUSDT' (категория 'coins'): results=1, err=<nil>
2026/09/25 13:28:49 Поиск '1000PEPEUSDT' (категория 'coins'): results=1, err=<nil>
2026/09/25 13:29:01 Поиск 'UNIUSDT' (категория 'coins'): results=1, err=<nil>
2026/09/25 13:29:06 Поиск 'BTCUSDT' (категория 'coins'): results=1, err=<nil>
2026/09/25 13:34:33 Поиск 'rosn' (категория 'stocks'): results=1, err=<nil>
2026/09/25 13:34:38 Поиск 'rosn' (категория 'stocks'): results=1, err=<nil>
